"Four-Year Graduation Rates, 2012-13"
"All Districts, English Learner Status"

"",,,"Graduates",
"East Haven School District","ELL","*","*","*"
"East Haven School District","Non-ELL","*","*","*"
"East Lyme School District","ELL","*","*","*"
"East Lyme School District","Non-ELL","*","*","*"
"East Windsor School District","ELL","*","*","*"
"East Windsor School District","Non-ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*"
"Ellington School District","ELL","*","*","*"
"Ellington School District","Non-ELL","*","*","*"
"Elm City College Preparatory School District","Non-ELL",13,8,61.5
"Enfield School District","ELL","*","*","*"
"Enfield School District","Non-ELL","*","*","*"
"Explorations District","ELL","*","*","*"
"Explorations District","Non-ELL","*","*","*"
"Fairfield School District","ELL",14,11,78.6
"Fairfield School District","Non-ELL",694,645,92.9
"Farmington School District","ELL","*","*","*"
"Farmington School District","Non-ELL","*","*","*"
"Glastonbury School District","ELL","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*"
"Granby School District","Non-ELL",197,192,97.5
"Greenwich School District","ELL",24,19,79.2
"Greenwich School District","Non-ELL",667,636,95.4
"Griswold School District","Non-ELL",170,148,87.1
"Groton School District","ELL",9,7,77.8
"Groton School District","Non-ELL",318,262,82.4
"Guilford School District","ELL","*","*","*"
"Guilford School District","Non-ELL","*","*","*"
"Hamden School District","ELL",10,8,80.0
"Hamden School District","Non-ELL",445,380,85.4
"Hartford School District","ELL",222,125,56.3
"Hartford School District","Non-ELL",1196,884,73.9
"Killingly School District","ELL","*","*","*"
"Killingly School District","Non-ELL","*","*","*"
"Learn","ELL","*","*","*"
"Learn","Non-ELL","*","*","*"
"Lebanon School District","ELL","*","*","*"
"Lebanon School District","Non-ELL","*","*","*"
"Ledyard School District","Non-ELL",232,208,89.7
"Lisbon School District","Non-ELL",6,"*","*"
"Litchfield School District","ELL","*","*","*"
"Litchfield School District","Non-ELL","*","*","*"
"Madison School District","Non-ELL",317,313,98.7
"Manchester School District","ELL",27,18,66.7
"Manchester School District","Non-ELL",452,340,75.2
"Meriden School District","ELL",62,30,48.4
"Meriden School District","Non-ELL",577,418,72.4
"Middletown School District","ELL",12,8,66.7
"Middletown School District","Non-ELL",367,299,81.5
"Milford School District","ELL","*","*","*"
"Milford School District","Non-ELL","*","*","*"
"Monroe School District","Non-ELL",309,300,97.1
"Montville School District","ELL",8,6,75.0
"Montville School District","Non-ELL",180,155,86.1
"Naugatuck School District","ELL",14,7,50.0
"Naugatuck School District","Non-ELL",321,254,79.1
"New Britain School District","ELL",118,63,53.4
"New Britain School District","Non-ELL",536,335,62.5
"New Canaan School District","ELL","*","*","*"
"New Canaan School District","Non-ELL","*","*","*"
"New Fairfield School District","ELL","*","*","*"
"New Fairfield School District","Non-ELL","*","*","*"
"New Haven School District","ELL",136,72,52.9
"New Haven School District","Non-ELL",1179,867,73.5
"New London School District","ELL",60,39,65.0
"New London School District","Non-ELL",197,126,64.0
"New Milford School District","ELL",6,"*","*"
"New Milford School District","Non-ELL",386,"*","*"
"Newington School District","ELL",15,12,80.0
"Newington School District","Non-ELL",361,327,90.6
"Newtown School District","Non-ELL",471,443,94.1
"North Branford School District","ELL","*","*","*"
"North Branford School District","Non-ELL","*","*","*"
"North Haven School District","ELL","*","*","*"
"North Haven School District","Non-ELL","*","*","*"
"North Stonington School District","Non-ELL",48,46,95.8
"Norwalk School District","ELL",80,52,65.0
"Norwalk School District","Non-ELL",700,609,87.0
"Norwich Free Academy District","ELL",34,29,85.3
"Norwich Free Academy District","Non-ELL",581,470,80.9
"Old Saybrook School District","ELL","*","*","*"
"Old Saybrook School District","Non-ELL","*","*","*"
"Oxford School District","ELL","*","*","*"
"Oxford School District","Non-ELL","*","*","*"
"Plainfield School District","ELL","*","*","*"
"Plainfield School District","Non-ELL","*","*","*"
"Plainville School District","ELL","*","*","*"
"Plainville School District","Non-ELL","*","*","*"
"Plymouth School District","ELL","*","*","*"
"Plymouth School District","Non-ELL","*","*","*"
"Portland School District","ELL","*","*","*"
"Portland School District","Non-ELL","*","*","*"
"Putnam School District","Non-ELL",96,74,77.1
"Regional School District 01","ELL","*","*","*"
"Regional School District 01","Non-ELL","*","*","*"
"Regional School District 04","Non-ELL",163,155,95.1
"Regional School District 05","ELL","*","*","*"
"Regional School District 05","Non-ELL","*","*","*"
"Regional School District 06","ELL","*","*","*"
"Regional School District 06","Non-ELL","*","*","*"
"Regional School District 07","Non-ELL",194,184,94.8
"Regional School District 08","Non-ELL",285,262,91.9
"Regional School District 09","ELL","*","*","*"
"Regional School District 09","Non-ELL","*","*","*"
"Regional School District 10","ELL","*","*","*"
"Regional School District 10","Non-ELL","*","*","*"
"Regional School District 11","Non-ELL",44,38,86.4
"Regional School District 12","ELL","*","*","*"
"Regional School District 12","Non-ELL","*","*","*"
"Regional School District 13","ELL","*","*","*"
"Regional School District 13","Non-ELL","*","*","*"
"Regional School District 14","ELL","*","*","*"
"Regional School District 14","Non-ELL","*","*","*"
"Regional School District 15","ELL","*","*","*"
"Regional School District 15","Non-ELL","*","*","*"
"Regional School District 16","ELL","*","*","*"
"Regional School District 16","Non-ELL","*","*","*"
"Regional School District 17","ELL","*","*","*"
"Regional School District 17","Non-ELL","*","*","*"
"Regional School District 18","ELL","*","*","*"
"Regional School District 18","Non-ELL","*","*","*"
"Regional School District 19","ELL","*","*","*"
"Regional School District 19","Non-ELL","*","*","*"
"Ridgefield School District","ELL","*","*","*"
"Ridgefield School District","Non-ELL","*","*","*"
"Rocky Hill School District","ELL","*","*","*"
"Rocky Hill School District","Non-ELL","*","*","*"
"Seymour School District","ELL","*","*","*"
"Seymour School District","Non-ELL","*","*","*"
"Shelton School District","ELL",8,7,87.5
"Shelton School District","Non-ELL",386,348,90.2
"Simsbury School District","Non-ELL",400,389,97.3
"Somers School District","ELL","*","*","*"
"Somers School District","Non-ELL","*","*","*"
"South Windsor School District","ELL",6,"*","*"
"South Windsor School District","Non-ELL",380,"*","*"
"Southington School District","ELL",7,7,100.0
"Southington School District","Non-ELL",483,439,90.9
"Stafford School District","ELL","*","*","*"
"Stafford School District","Non-ELL","*","*","*"
"Stamford Academy District","ELL","*","*","*"
"Stamford Academy District","Non-ELL","*","*","*"
"Stamford School District","ELL",139,101,72.7
"Stamford School District","Non-ELL",1079,982,91.0
"Stonington School District","ELL","*","*","*"
"Stonington School District","Non-ELL","*","*","*"
"Stratford School District","ELL",13,12,92.3
"Stratford School District","Non-ELL",556,492,88.5
"Suffield School District","Non-ELL",220,204,92.7
"The Bridge Academy District","Non-ELL",36,32,88.9
"The Gilbert School District","ELL","*","*","*"
"The Gilbert School District","Non-ELL","*","*","*"
"Thomaston School District","ELL","*","*","*"
"Thomaston School District","Non-ELL","*","*","*"
"Thompson School District","Non-ELL",87,78,89.7
"Tolland School District","Non-ELL",244,229,93.9
"Torrington School District","ELL",18,15,83.3
"Torrington School District","Non-ELL",260,220,84.6
"Trumbull School District","ELL",12,11,91.7
"Trumbull School District","Non-ELL",538,527,98.0
"Unified School District #1","ELL",24,"*","*"
"Unified School District #1","Non-ELL",348,"*","*"
"Unified School District #2","ELL",9,"*","*"
"Unified School District #2","Non-ELL",54,"*","*"
"Vernon School District","ELL",8,6,75.0
"Vernon School District","Non-ELL",234,191,81.6
"Wallingford School District","ELL",15,12,80.0
"Wallingford School District","Non-ELL",520,474,91.2
"Waterbury School District","ELL",165,98,59.4
"Waterbury School District","Non-ELL",1135,766,67.5
"Waterford School District","ELL","*","*","*"
"Waterford School District","Non-ELL","*","*","*"
"Watertown School District","ELL","*","*","*"
"Watertown School District","Non-ELL","*","*","*"
"West Hartford School District","ELL",46,32,69.6
"West Hartford School District","Non-ELL",789,746,94.6
"West Haven School District","ELL",27,15,55.6
"West Haven School District","Non-ELL",412,291,70.6
"Westbrook School District","Non-ELL",78,75,96.2
"Weston School District","Non-ELL",208,206,99.0
"Westport School District","ELL","*","*","*"
"Westport School District","Non-ELL","*","*","*"
"Wethersfield School District","ELL",11,8,72.7
"Wethersfield School District","Non-ELL",259,236,91.1
"Wilton School District","ELL","*","*","*"
"Wilton School District","Non-ELL","*","*","*"
"Windham School District","ELL",39,23,59.0
"Windham School District","Non-ELL",159,126,79.2
"Windsor Locks School District","ELL","*","*","*"
"Windsor Locks School District","Non-ELL","*","*","*"
"Windsor School District","ELL",6,"*","*"
"Windsor School District","Non-ELL",349,"*","*"
"Wolcott School District","Non-ELL",221,208,94.1
"Woodstock Academy District","ELL","*","*","*"
"Woodstock Academy District","Non-ELL","*","*","*"

